acceptedTaxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,geometry,scenario
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,176931,250975,0.7049745990636518,"c(-104.872764, 39.091653)",2071-2100_Beck
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,256049,297135,0.8617261514126575,"c(145.95, -37.9667)",2071-2100_Beck
3128547,Centaurea jacea,Cfa,Humid subtropical climate,1761,297135,0.00592659902064718,"c(-77.1536, 38.91)",2071-2100_Beck
5285604,Pinus halepensis,Cfa,Humid subtropical climate,2483,36008,0.06895689846700734,"c(152.084406, -26.915078)",2071-2100_Beck
5285604,Pinus halepensis,Cfb,Temperate oceanic climate,6100,36008,0.16940679848922463,"c(1.98, 41.59)",2071-2100_Beck
5415040,Olea europaea,Cfa,Humid subtropical climate,16330,392082,0.04164945088017302,"c(121.505556, 25.027222)",2071-2100_Beck
5415040,Olea europaea,Cfb,Temperate oceanic climate,23940,392082,0.061058656097449,"c(5.93447, 44.0747)",2071-2100_Beck
2730127,Eriophorum angustifolium,Cfa,Humid subtropical climate,83,250975,3.3071023010259985e-4,"c(-70.6723, 42.0418)",2071-2100_Beck
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,176931,250975,0.7049745990636518,"c(-104.872764, 39.091653)",2001-2025-A1FI
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,256049,297135,0.8617261514126575,"c(145.95, -37.9667)",2001-2025-A1FI
5285604,Pinus halepensis,Cfb,Temperate oceanic climate,6100,36008,0.16940679848922463,"c(1.98, 41.59)",2001-2025-A1FI
5415040,Olea europaea,Cfb,Temperate oceanic climate,23940,392082,0.061058656097449,"c(5.93447, 44.0747)",2001-2025-A1FI
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,176931,250975,0.7049745990636518,"c(-104.872764, 39.091653)",2026-2050-A1FI
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,256049,297135,0.8617261514126575,"c(145.95, -37.9667)",2026-2050-A1FI
5285604,Pinus halepensis,Cfb,Temperate oceanic climate,6100,36008,0.16940679848922463,"c(1.98, 41.59)",2026-2050-A1FI
5415040,Olea europaea,Cfb,Temperate oceanic climate,23940,392082,0.061058656097449,"c(5.93447, 44.0747)",2026-2050-A1FI
2730127,Eriophorum angustifolium,Cfb,Temperate oceanic climate,176931,250975,0.7049745990636518,"c(-104.872764, 39.091653)",2051-2075-A1FI
3128547,Centaurea jacea,Cfb,Temperate oceanic climate,256049,297135,0.8617261514126575,"c(145.95, -37.9667)",2051-2075-A1FI
3128547,Centaurea jacea,Cfa,Humid subtropical climate,1761,297135,0.00592659902064718,"c(-77.1536, 38.91)",2051-2075-A1FI
5285604,Pinus halepensis,Cfa,Humid subtropical climate,2483,36008,0.06895689846700734,"c(152.084406, -26.915078)",2051-2075-A1FI
5285604,Pinus halepensis,Cfb,Temperate oceanic climate,6100,36008,0.16940679848922463,"c(1.98, 41.59)",2051-2075-A1FI
5415040,Olea europaea,Cfa,Humid subtropical climate,16330,392082,0.04164945088017302,"c(121.505556, 25.027222)",2051-2075-A1FI
5415040,Olea europaea,Cfb,Temperate oceanic climate,23940,392082,0.061058656097449,"c(5.93447, 44.0747)",2051-2075-A1FI
2730127,Eriophorum angustifolium,Cfa,Humid subtropical climate,83,250975,3.3071023010259985e-4,"c(-70.6723, 42.0418)",2051-2075-A1FI
3128547,Centaurea jacea,Cfa,Humid subtropical climate,1761,297135,0.00592659902064718,"c(-77.1536, 38.91)",2076-2100-A1FI
3128547,Centaurea jacea,Csa,Hot-summer Mediterranean climate,404,297135,0.00135965133693439,"c(2.17, 41.387778)",2076-2100-A1FI
5285604,Pinus halepensis,Cfa,Humid subtropical climate,2483,36008,0.06895689846700734,"c(152.084406, -26.915078)",2076-2100-A1FI
5285604,Pinus halepensis,Csa,Hot-summer Mediterranean climate,16701,36008,0.46381359697844926,"c(-0.5638, 39.3621)",2076-2100-A1FI
5415040,Olea europaea,Cfa,Humid subtropical climate,16330,392082,0.04164945088017302,"c(121.505556, 25.027222)",2076-2100-A1FI
5415040,Olea europaea,Csa,Hot-summer Mediterranean climate,282066,392082,0.7194056345356329,"c(-0.3353, 39.267)",2076-2100-A1FI
2730127,Eriophorum angustifolium,Cfa,Humid subtropical climate,83,250975,3.3071023010259985e-4,"c(-70.6723, 42.0418)",2076-2100-A1FI
2730127,Eriophorum angustifolium,Csa,Hot-summer Mediterranean climate,9,250975,3.586014543281203e-5,"c(-5.01, 40.32)",2076-2100-A1FI
